"","Associatednumber","Sample","DNA_concentration_ng.uL","Station","StationNumber","Stromkilometer","Sample_type","Sample_date","Sat_O2_Perc","Temperature_TBDHereon","Salinity_PSU","Turbidity_NTU","pH","O2_uM","SPM_mgperL","DOC_mg.L","TN_mg.L","DIC_mg.L","Silicate_mg.L","Ammonium_mg.L","Nitrite_mg.L","Nitrate_mg.L","Total_DIN_uM","SRP_mgperL","TotalDissolvedPhosphate_mg.L","Ammonium_uM","Nitrite_uM","Nitrate_uM","SRP_uM","Phosphate_uM","Silicate_uM","DOC_uM.L","DIC_uM.L","RespirationRate_O2ug.L.h","POC_mgperL","PTC_mgperL","PTN_mgperL","PTH_mgperL","TEP_um2perL","CSP_um2perL","ParticleArea_um2perL","dCH4_uM","dCH4_nM","dCO2_uM","dCO2_nM","sampleid","AccessionNumber_TBDSven","data_type"
"14",7,"SchL1",157,"Schwarztonnensand",4,665.546,"Light_fraction","May-21",74.7,10.51,0.72,270,7.92,259.96,55.16666667,6.4745,1.6775,17.315,NA,0.118,0.05,137.3,137.47,NA,NA,0.118,0.05,137.3,NA,1.25,36.712,539.0610039,1441.631212,NA,18.11783797,24.05729179,4.285950723,5.20401806,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290256_METAG.genecount.profile","SAMEA110290256","METAG"
"15",8,"SchL2",111,"Schwarztonnensand",4,665.546,"Light_fraction","May-21",74.7,10.51,0.72,270,7.92,259.96,55.16666667,6.4745,1.6775,17.315,NA,0.118,0.05,137.3,137.47,NA,NA,0.118,0.05,137.3,NA,1.25,36.712,539.0610039,1441.631212,NA,27.56853115,30.47198047,3.793041843,7.26598748,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290257_METAG.genecount.profile","SAMEA110290257","METAG"
"16",8,"SchL2",111,"Schwarztonnensand",4,665.546,"Light_fraction","May-21",74.7,10.51,0.72,270,7.92,259.96,55.16666667,6.4745,1.6775,17.315,NA,0.118,0.05,137.3,137.47,NA,NA,0.118,0.05,137.3,NA,1.25,36.712,539.0610039,1441.631212,NA,27.56853115,30.47198047,3.793041843,7.26598748,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290257_METAT.genecount.profile","SAMEA110290257","METAT"
"17",9,"SchH1",85,"Schwarztonnensand",4,665.546,"Heavy_fraction","May-21",74.7,10.51,0.72,270,7.92,259.96,88.16666667,6.4745,1.6775,17.315,NA,0.118,0.05,137.3,137.47,NA,NA,0.118,0.05,137.3,NA,1.25,36.712,539.0610039,1441.631212,NA,28.7850931,39.2451694,4.688525705,11.2917373,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290258_METAT.genecount.profile","SAMEA110290258","METAT"
"18",9,"SchH1",85,"Schwarztonnensand",4,665.546,"Heavy_fraction","May-21",74.7,10.51,0.72,270,7.92,259.96,88.16666667,6.4745,1.6775,17.315,NA,0.118,0.05,137.3,137.47,NA,NA,0.118,0.05,137.3,NA,1.25,36.712,539.0610039,1441.631212,NA,28.7850931,39.2451694,4.688525705,11.2917373,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290258_METAG.genecount.profile","SAMEA110290258","METAG"
"19",10,"SchH2",200,"Schwarztonnensand",4,665.546,"Heavy_fraction","May-21",74.7,10.51,0.72,270,7.92,259.96,88.16666667,6.4745,1.6775,17.315,NA,0.118,0.05,137.3,137.47,NA,NA,0.118,0.05,137.3,NA,1.25,36.712,539.0610039,1441.631212,NA,26.09962341,30.84411685,4.382175963,8.14968866,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290259_METAG.genecount.profile","SAMEA110290259","METAG"
"20",10,"SchH2",200,"Schwarztonnensand",4,665.546,"Heavy_fraction","May-21",74.7,10.51,0.72,270,7.92,259.96,88.16666667,6.4745,1.6775,17.315,NA,0.118,0.05,137.3,137.47,NA,NA,0.118,0.05,137.3,NA,1.25,36.712,539.0610039,1441.631212,NA,26.09962341,30.84411685,4.382175963,8.14968866,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290259_METAT.genecount.profile","SAMEA110290259","METAT"
"21",11,"SchF1",0.843,"Schwarztonnensand",4,665.546,"Free_living","May-21",74.7,10.51,0.72,270,7.92,259.96,443.9,6.4745,1.6775,17.315,NA,0.118,0.05,137.3,137.47,NA,NA,0.118,0.05,137.3,NA,1.25,36.712,539.0610039,1441.631212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290260_METAT.genecount.profile","SAMEA110290260","METAT"
"22",11,"SchF1",0.843,"Schwarztonnensand",4,665.546,"Free_living","May-21",74.7,10.51,0.72,270,7.92,259.96,443.9,6.4745,1.6775,17.315,NA,0.118,0.05,137.3,137.47,NA,NA,0.118,0.05,137.3,NA,1.25,36.712,539.0610039,1441.631212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290260_METAG.genecount.profile","SAMEA110290260","METAG"
"23",12,"SchF2",1.48,"Schwarztonnensand",4,665.546,"Free_living","May-21",74.7,10.51,0.72,270,7.92,259.96,443.9,6.4745,1.6775,17.315,NA,0.118,0.05,137.3,137.47,NA,NA,0.118,0.05,137.3,NA,1.25,36.712,539.0610039,1441.631212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290261_METAG.genecount.profile","SAMEA110290261","METAG"
"24",12,"SchF2",1.48,"Schwarztonnensand",4,665.546,"Free_living","May-21",74.7,10.51,0.72,270,7.92,259.96,443.9,6.4745,1.6775,17.315,NA,0.118,0.05,137.3,137.47,NA,NA,0.118,0.05,137.3,NA,1.25,36.712,539.0610039,1441.631212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290261_METAT.genecount.profile","SAMEA110290261","METAT"
"25",13,"MGL1",15,"Meedem Grund",6,711.515,"Light_fraction","May-21",81.69,10.43,10.37,47.83,8.04,287.22,12.86666667,7.1965,1.8495,19.98,NA,3.4,0.357,86.86,90.62,NA,NA,3.4,0.357,86.86,NA,1.057,39.859,599.1740698,1663.516698,NA,1.959852839,2.467490073,3.361992045,1.27645726,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290262_METAG.genecount.profile","SAMEA110290262","METAG"
"26",13,"MGL1",15,"Meedem Grund",6,711.515,"Light_fraction","May-21",81.69,10.43,10.37,47.83,8.04,287.22,12.86666667,7.1965,1.8495,19.98,NA,3.4,0.357,86.86,90.62,NA,NA,3.4,0.357,86.86,NA,1.057,39.859,599.1740698,1663.516698,NA,1.959852839,2.467490073,3.361992045,1.27645726,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290262_METAT.genecount.profile","SAMEA110290262","METAT"
"27",14,"MGL2",23,"Meedem Grund",6,711.515,"Light_fraction","May-21",81.69,10.43,10.37,47.83,8.04,287.22,12.86666667,7.1965,1.8495,19.98,NA,3.4,0.357,86.86,90.62,NA,NA,3.4,0.357,86.86,NA,1.057,39.859,599.1740698,1663.516698,NA,1.951015827,2.705107501,2.463562512,1.08007922,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290263_METAT.genecount.profile","SAMEA110290263","METAT"
"28",14,"MGL2",23,"Meedem Grund",6,711.515,"Light_fraction","May-21",81.69,10.43,10.37,47.83,8.04,287.22,12.86666667,7.1965,1.8495,19.98,NA,3.4,0.357,86.86,90.62,NA,NA,3.4,0.357,86.86,NA,1.057,39.859,599.1740698,1663.516698,NA,1.951015827,2.705107501,2.463562512,1.08007922,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290263_METAG.genecount.profile","SAMEA110290263","METAG"
"29",15,"MGH1",109,"Meedem Grund",6,711.515,"Heavy_fraction","May-21",81.69,10.43,10.37,47.83,8.04,287.22,16.33333333,7.1965,1.8495,19.98,NA,3.4,0.357,86.86,90.62,NA,NA,3.4,0.357,86.86,NA,1.057,39.859,599.1740698,1663.516698,NA,2.745364999,3.48374643,3.179360468,1.27645726,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290264_METAT.genecount.profile","SAMEA110290264","METAT"
"30",15,"MGH1",109,"Meedem Grund",6,711.515,"Heavy_fraction","May-21",81.69,10.43,10.37,47.83,8.04,287.22,16.33333333,7.1965,1.8495,19.98,NA,3.4,0.357,86.86,90.62,NA,NA,3.4,0.357,86.86,NA,1.057,39.859,599.1740698,1663.516698,NA,2.745364999,3.48374643,3.179360468,1.27645726,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290264_METAG.genecount.profile","SAMEA110290264","METAG"
"31",16,"MGH2",34,"Meedem Grund",6,711.515,"Heavy_fraction","May-21",81.69,10.43,10.37,47.83,8.04,287.22,16.33333333,7.1965,1.8495,19.98,NA,3.4,0.357,86.86,90.62,NA,NA,3.4,0.357,86.86,NA,1.057,39.859,599.1740698,1663.516698,NA,2.974145416,2.205325389,3.195070711,0.9818902,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290265_METAT.genecount.profile","SAMEA110290265","METAT"
"32",16,"MGH2",34,"Meedem Grund",6,711.515,"Heavy_fraction","May-21",81.69,10.43,10.37,47.83,8.04,287.22,16.33333333,7.1965,1.8495,19.98,NA,3.4,0.357,86.86,90.62,NA,NA,3.4,0.357,86.86,NA,1.057,39.859,599.1740698,1663.516698,NA,2.974145416,2.205325389,3.195070711,0.9818902,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290265_METAG.genecount.profile","SAMEA110290265","METAG"
"33",17,"MGF1",3.34,"Meedem Grund",6,711.515,"Free_living","May-21",81.69,10.43,10.37,47.83,8.04,287.22,76.62,7.1965,1.8495,19.98,NA,3.4,0.357,86.86,90.62,NA,NA,3.4,0.357,86.86,NA,1.057,39.859,599.1740698,1663.516698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290266_METAT.genecount.profile","SAMEA110290266","METAT"
"34",17,"MGF1",3.34,"Meedem Grund",6,711.515,"Free_living","May-21",81.69,10.43,10.37,47.83,8.04,287.22,76.62,7.1965,1.8495,19.98,NA,3.4,0.357,86.86,90.62,NA,NA,3.4,0.357,86.86,NA,1.057,39.859,599.1740698,1663.516698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290266_METAG.genecount.profile","SAMEA110290266","METAG"
"35",18,"MGF2",2.02,"Meedem Grund",6,711.515,"Free_living","May-21",81.69,10.43,10.37,47.83,8.04,287.22,76.62,7.1965,1.8495,19.98,NA,3.4,0.357,86.86,90.62,NA,NA,3.4,0.357,86.86,NA,1.057,39.859,599.1740698,1663.516698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290267_METAT.genecount.profile","SAMEA110290267","METAT"
"36",18,"MGF2",2.02,"Meedem Grund",6,711.515,"Free_living","May-21",81.69,10.43,10.37,47.83,8.04,287.22,76.62,7.1965,1.8495,19.98,NA,3.4,0.357,86.86,90.62,NA,NA,3.4,0.357,86.86,NA,1.057,39.859,599.1740698,1663.516698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290267_METAG.genecount.profile","SAMEA110290267","METAG"
"37",20,"BHL1",200,"BunthausSpitze",1,608.165,"Light_fraction","May-21",94.12,10.35,0.43,17.6,NA,328.82,7.766666667,8.884,4.8735,19.82,NA,0.105,0.241,41.28,41.62,NA,NA,0.105,0.241,41.28,NA,0,-0.57,739.6737909,1650.195243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290268_METAT.genecount.profile","SAMEA110290268","METAT"
"38",20,"BHL1",200,"BunthausSpitze",1,608.165,"Light_fraction","May-21",94.12,10.35,0.43,17.6,NA,328.82,7.766666667,8.884,4.8735,19.82,NA,0.105,0.241,41.28,41.62,NA,NA,0.105,0.241,41.28,NA,0,-0.57,739.6737909,1650.195243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290268_METAG.genecount.profile","SAMEA110290268","METAG"
"39",21,"BHL2",200,"BunthausSpitze",1,608.165,"Light_fraction","May-21",94.12,10.35,0.43,17.6,NA,328.82,7.766666667,8.884,4.8735,19.82,NA,0.105,0.241,41.28,41.62,NA,NA,0.105,0.241,41.28,NA,0,-0.57,739.6737909,1650.195243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290269_METAT.genecount.profile","SAMEA110290269","METAT"
"40",21,"BHL2",200,"BunthausSpitze",1,608.165,"Light_fraction","May-21",94.12,10.35,0.43,17.6,NA,328.82,7.766666667,8.884,4.8735,19.82,NA,0.105,0.241,41.28,41.62,NA,NA,0.105,0.241,41.28,NA,0,-0.57,739.6737909,1650.195243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290269_METAG.genecount.profile","SAMEA110290269","METAG"
"41",22,"BHH1",200,"BunthausSpitze",1,608.165,"Heavy_fraction","May-21",94.12,10.35,0.43,17.6,NA,328.82,8.3,8.884,4.8735,19.82,NA,0.105,0.241,41.28,41.62,NA,NA,0.105,0.241,41.28,NA,0,-0.57,739.6737909,1650.195243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290270_METAT.genecount.profile","SAMEA110290270","METAT"
"42",22,"BHH1",200,"BunthausSpitze",1,608.165,"Heavy_fraction","May-21",94.12,10.35,0.43,17.6,NA,328.82,8.3,8.884,4.8735,19.82,NA,0.105,0.241,41.28,41.62,NA,NA,0.105,0.241,41.28,NA,0,-0.57,739.6737909,1650.195243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290270_METAG.genecount.profile","SAMEA110290270","METAG"
"43",23,"BHH2",200,"BunthausSpitze",1,608.165,"Heavy_fraction","May-21",94.12,10.35,0.43,17.6,NA,328.82,8.3,8.884,4.8735,19.82,NA,0.105,0.241,41.28,41.62,NA,NA,0.105,0.241,41.28,NA,0,-0.57,739.6737909,1650.195243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290271_METAT.genecount.profile","SAMEA110290271","METAT"
"44",23,"BHH2",200,"BunthausSpitze",1,608.165,"Heavy_fraction","May-21",94.12,10.35,0.43,17.6,NA,328.82,8.3,8.884,4.8735,19.82,NA,0.105,0.241,41.28,41.62,NA,NA,0.105,0.241,41.28,NA,0,-0.57,739.6737909,1650.195243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290271_METAG.genecount.profile","SAMEA110290271","METAG"
"45",24,"BHF1",100,"BunthausSpitze",1,608.165,"Free_living","May-21",94.12,10.35,0.43,17.6,NA,328.82,34.03,8.884,4.8735,19.82,NA,0.105,0.241,41.28,41.62,NA,NA,0.105,0.241,41.28,NA,0,-0.57,739.6737909,1650.195243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290272_METAG.genecount.profile","SAMEA110290272","METAG"
"46",24,"BHF1",100,"BunthausSpitze",1,608.165,"Free_living","May-21",94.12,10.35,0.43,17.6,NA,328.82,34.03,8.884,4.8735,19.82,NA,0.105,0.241,41.28,41.62,NA,NA,0.105,0.241,41.28,NA,0,-0.57,739.6737909,1650.195243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290272_METAT.genecount.profile","SAMEA110290272","METAT"
"47",25,"BHF2",109,"BunthausSpitze",1,608.165,"Free_living","May-21",94.12,10.35,0.43,17.6,NA,328.82,34.03,8.884,4.8735,19.82,NA,0.105,0.241,41.28,41.62,NA,NA,0.105,0.241,41.28,NA,0,-0.57,739.6737909,1650.195243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290273_METAG.genecount.profile","SAMEA110290273","METAG"
"48",25,"BHF2",109,"BunthausSpitze",1,608.165,"Free_living","May-21",94.12,10.35,0.43,17.6,NA,328.82,34.03,8.884,4.8735,19.82,NA,0.105,0.241,41.28,41.62,NA,NA,0.105,0.241,41.28,NA,0,-0.57,739.6737909,1650.195243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290273_METAT.genecount.profile","SAMEA110290273","METAT"
"49",26,"TL1",72,"Twielenfleth",3,651.955,"Light_fraction","May-21",66.33,10.87,0.47,102.68,7.79,229.39,19.76666667,8.8185,2.2505,28.025,NA,0.301,0.114,96.88,97.29,NA,NA,0.301,0.114,96.88,NA,0.871,16.421,734.2203202,2333.336109,NA,6.891887314,12.15776446,4.192671154,2.9456706,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290274_METAG.genecount.profile","SAMEA110290274","METAG"
"50",26,"TL1",72,"Twielenfleth",3,651.955,"Light_fraction","May-21",66.33,10.87,0.47,102.68,7.79,229.39,19.76666667,8.8185,2.2505,28.025,NA,0.301,0.114,96.88,97.29,NA,NA,0.301,0.114,96.88,NA,0.871,16.421,734.2203202,2333.336109,NA,6.891887314,12.15776446,4.192671154,2.9456706,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290274_METAT.genecount.profile","SAMEA110290274","METAT"
"51",27,"TL2",26,"Twielenfleth",3,651.955,"Light_fraction","May-21",66.33,10.87,0.47,102.68,7.79,229.39,19.76666667,8.8185,2.2505,28.025,NA,0.301,0.114,96.88,97.29,NA,NA,0.301,0.114,96.88,NA,0.871,16.421,734.2203202,2333.336109,NA,5.827518337,10.44632984,4.51767681,2.74929256,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290275_METAG.genecount.profile","SAMEA110290275","METAG"
"52",27,"TL2",26,"Twielenfleth",3,651.955,"Light_fraction","May-21",66.33,10.87,0.47,102.68,7.79,229.39,19.76666667,8.8185,2.2505,28.025,NA,0.301,0.114,96.88,97.29,NA,NA,0.301,0.114,96.88,NA,0.871,16.421,734.2203202,2333.336109,NA,5.827518337,10.44632984,4.51767681,2.74929256,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290275_METAT.genecount.profile","SAMEA110290275","METAT"
"53",28,"TH1",18,"Twielenfleth",3,651.955,"Heavy_fraction","May-21",66.33,10.87,0.47,102.68,7.79,229.39,13.3,8.8185,2.2505,28.025,NA,0.301,0.114,96.88,97.29,NA,NA,0.301,0.114,96.88,NA,0.871,16.421,734.2203202,2333.336109,NA,5.827518337,7.160925229,3.770458368,2.16015844,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290276_METAG.genecount.profile","SAMEA110290276","METAG"
"54",28,"TH1",18,"Twielenfleth",3,651.955,"Heavy_fraction","May-21",66.33,10.87,0.47,102.68,7.79,229.39,13.3,8.8185,2.2505,28.025,NA,0.301,0.114,96.88,97.29,NA,NA,0.301,0.114,96.88,NA,0.871,16.421,734.2203202,2333.336109,NA,5.827518337,7.160925229,3.770458368,2.16015844,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290276_METAT.genecount.profile","SAMEA110290276","METAT"
"55",29,"TH2",200,"Twielenfleth",3,651.955,"Heavy_fraction","May-21",66.33,10.87,0.47,102.68,7.79,229.39,13.3,8.8185,2.2505,28.025,NA,0.301,0.114,96.88,97.29,NA,NA,0.301,0.114,96.88,NA,0.871,16.421,734.2203202,2333.336109,NA,5.879558518,7.114776389,2.480254645,2.25834746,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290277_METAT.genecount.profile","SAMEA110290277","METAT"
"56",29,"TH2",200,"Twielenfleth",3,651.955,"Heavy_fraction","May-21",66.33,10.87,0.47,102.68,7.79,229.39,13.3,8.8185,2.2505,28.025,NA,0.301,0.114,96.88,97.29,NA,NA,0.301,0.114,96.88,NA,0.871,16.421,734.2203202,2333.336109,NA,5.879558518,7.114776389,2.480254645,2.25834746,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290277_METAG.genecount.profile","SAMEA110290277","METAG"
"57",30,"TF1",2.04,"Twielenfleth",3,651.955,"Free_living","May-21",66.33,10.87,0.47,102.68,7.79,229.39,326.4,8.8185,2.2505,28.025,NA,0.301,0.114,96.88,97.29,NA,NA,0.301,0.114,96.88,NA,0.871,16.421,734.2203202,2333.336109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290278_METAG.genecount.profile","SAMEA110290278","METAG"
