genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
GROS22-1_SAMEA110290269_MAG_00000035.fa,14_2,0.010000000000000009,average,ANImf,14
GROS22-1_SAMEA110290271_MAG_00000015.fa,14_3,0.010000000000000009,average,ANImf,14
GROS22-1_SAMEA110290287_MAG_00000129.fa,15_0,0.010000000000000009,average,ANImf,15
GROS22-2_SAMEA112714809_MAG_00000230.fa,16_1,0.010000000000000009,average,ANImf,16
GROS22-2_SAMEA112714826_MAG_00000265.fa,16_2,0.010000000000000009,average,ANImf,16
GROS22-2_SAMEA112714808_MAG_00000123.fa,16_3,0.010000000000000009,average,ANImf,16
GROS22-2_SAMEA112714825_MAG_00000444.fa,16_4,0.010000000000000009,average,ANImf,16
GROS22-1_SAMEA110290262_MAG_00000011.fa,17_1,0.010000000000000009,average,ANImf,17
GROS22-1_SAMEA110290263_MAG_00000124.fa,17_1,0.010000000000000009,average,ANImf,17
GROS22-1_SAMEA110290264_MAG_00000098.fa,17_1,0.010000000000000009,average,ANImf,17
GROS22-1_SAMEA110290265_MAG_00000080.fa,17_1,0.010000000000000009,average,ANImf,17
GROS22-1_SAMEA110290291_MAG_00000141.fa,18_0,0.010000000000000009,average,ANImf,18
GROS22-2_SAMEA112714803_MAG_00000072.fa,19_0,0.010000000000000009,average,ANImf,19
GROS22-1_SAMEA110290255_MAG_00000116.fa,20_1,0.010000000000000009,average,ANImf,20
GROS22-1_SAMEA110290278_MAG_00000109.fa,20_1,0.010000000000000009,average,ANImf,20
GROS22-1_SAMEA110290279_MAG_00000009.fa,20_2,0.010000000000000009,average,ANImf,20
GROS22-1_SAMEA110290291_MAG_00000066.fa,20_3,0.010000000000000009,average,ANImf,20
GROS22-2_SAMEA112714845_MAG_00000037.fa,21_1,0.010000000000000009,average,ANImf,21
GROS22-2_SAMEA112714846_MAG_00000102.fa,21_1,0.010000000000000009,average,ANImf,21
GROS22-2_SAMEA112714847_MAG_00000069.fa,21_1,0.010000000000000009,average,ANImf,21
GROS22-2_SAMEA112714848_MAG_00000257.fa,21_1,0.010000000000000009,average,ANImf,21
GROS22-2_SAMEA112714849_MAG_00000115.fa,21_1,0.010000000000000009,average,ANImf,21
GROS22-2_SAMEA112714850_MAG_00000291.fa,21_1,0.010000000000000009,average,ANImf,21
GROS22-2_SAMEA112714857_MAG_00000093.fa,21_1,0.010000000000000009,average,ANImf,21
GROS22-2_SAMEA112714858_MAG_00000092.fa,21_1,0.010000000000000009,average,ANImf,21
GROS22-2_SAMEA112714859_MAG_00000222.fa,21_1,0.010000000000000009,average,ANImf,21
GROS22-2_SAMEA112714860_MAG_00000087.fa,21_1,0.010000000000000009,average,ANImf,21
GROS22-2_SAMEA112714861_MAG_00000158.fa,21_1,0.010000000000000009,average,ANImf,21
GROS22-2_SAMEA112714862_MAG_00000267.fa,21_1,0.010000000000000009,average,ANImf,21
GROS22-2_SAMEA112714810_MAG_00000190.fa,22_1,0.010000000000000009,average,ANImf,22
GROS22-2_SAMEA112714811_MAG_00000196.fa,22_1,0.010000000000000009,average,ANImf,22
GROS22-2_SAMEA112714812_MAG_00000168.fa,22_1,0.010000000000000009,average,ANImf,22
GROS22-2_SAMEA112714821_MAG_00000249.fa,22_1,0.010000000000000009,average,ANImf,22
GROS22-2_SAMEA112714822_MAG_00000185.fa,22_1,0.010000000000000009,average,ANImf,22
GROS22-2_SAMEA112714834_MAG_00000040.fa,23_1,0.010000000000000009,average,ANImf,23
GROS22-2_SAMEA112714836_MAG_00000099.fa,23_2,0.010000000000000009,average,ANImf,23
GROS22-2_SAMEA112714833_MAG_00000075.fa,23_3,0.010000000000000009,average,ANImf,23
GROS22-2_SAMEA112714835_MAG_00000122.fa,23_4,0.010000000000000009,average,ANImf,23
GROS22-1_SAMEA110290251_MAG_00000021.fa,23_5,0.010000000000000009,average,ANImf,23
GROS22-1_SAMEA110290325_MAG_00000054.fa,23_6,0.010000000000000009,average,ANImf,23
GROS22-1_SAMEA110290322_MAG_00000018.fa,23_7,0.010000000000000009,average,ANImf,23
GROS22-1_SAMEA110290268_MAG_00000012.fa,24_1,0.010000000000000009,average,ANImf,24
GROS22-1_SAMEA110290270_MAG_00000036.fa,24_2,0.010000000000000009,average,ANImf,24
GROS22-1_SAMEA110290271_MAG_00000011.fa,24_3,0.010000000000000009,average,ANImf,24
GROS22-1_SAMEA110290269_MAG_00000008.fa,24_4,0.010000000000000009,average,ANImf,24
GROS22-2_SAMEA112714857_MAG_00000061.fa,25_1,0.010000000000000009,average,ANImf,25
GROS22-2_SAMEA112714860_MAG_00000125.fa,25_2,0.010000000000000009,average,ANImf,25
GROS22-2_SAMEA112714853_MAG_00000049.fa,26_0,0.010000000000000009,average,ANImf,26
GROS22-1_SAMEA110290290_MAG_00000167.fa,27_1,0.010000000000000009,average,ANImf,27
GROS22-1_SAMEA110290291_MAG_00000041.fa,27_2,0.010000000000000009,average,ANImf,27
GROS22-2_SAMEA112714845_MAG_00000310.fa,28_0,0.010000000000000009,average,ANImf,28
GROS22-1_SAMEA110290258_MAG_00000019.fa,29_1,0.010000000000000009,average,ANImf,29
GROS22-1_SAMEA110290259_MAG_00000094.fa,29_1,0.010000000000000009,average,ANImf,29
GROS22-1_SAMEA110290276_MAG_00000155.fa,29_1,0.010000000000000009,average,ANImf,29
GROS22-1_SAMEA110290277_MAG_00000006.fa,29_1,0.010000000000000009,average,ANImf,29
GROS22-1_SAMEA110290274_MAG_00000040.fa,29_2,0.010000000000000009,average,ANImf,29
GROS22-1_SAMEA110290275_MAG_00000134.fa,29_3,0.010000000000000009,average,ANImf,29
GROS22-1_SAMEA110290257_MAG_00000054.fa,29_4,0.010000000000000009,average,ANImf,29
GROS22-1_SAMEA110290257_MAG_00000071.fa,30_1,0.010000000000000009,average,ANImf,30
GROS22-1_SAMEA110290258_MAG_00000023.fa,30_1,0.010000000000000009,average,ANImf,30
GROS22-1_SAMEA110290259_MAG_00000067.fa,30_1,0.010000000000000009,average,ANImf,30
GROS22-1_SAMEA110290276_MAG_00000098.fa,30_1,0.010000000000000009,average,ANImf,30
GROS22-1_SAMEA110290277_MAG_00000001.fa,30_1,0.010000000000000009,average,ANImf,30
GROS22-2_SAMEA112714794_MAG_00000201.fa,30_1,0.010000000000000009,average,ANImf,30
GROS22-2_SAMEA112714811_MAG_00000042.fa,30_1,0.010000000000000009,average,ANImf,30
GROS22-2_SAMEA112714812_MAG_00000095.fa,30_1,0.010000000000000009,average,ANImf,30
GROS22-1_SAMEA110290256_MAG_00000025.fa,30_2,0.010000000000000009,average,ANImf,30
GROS22-1_SAMEA110290275_MAG_00000114.fa,30_3,0.010000000000000009,average,ANImf,30
GROS22-1_SAMEA110290274_MAG_00000147.fa,30_4,0.010000000000000009,average,ANImf,30
GROS22-1_SAMEA110290257_MAG_00000102.fa,31_1,0.010000000000000009,average,ANImf,31
GROS22-1_SAMEA110290276_MAG_00000065.fa,31_2,0.010000000000000009,average,ANImf,31
GROS22-1_SAMEA110290277_MAG_00000023.fa,31_3,0.010000000000000009,average,ANImf,31
GROS22-1_SAMEA110290256_MAG_00000122.fa,31_4,0.010000000000000009,average,ANImf,31
GROS22-1_SAMEA110290274_MAG_00000070.fa,31_5,0.010000000000000009,average,ANImf,31
GROS22-1_SAMEA110290275_MAG_00000105.fa,31_6,0.010000000000000009,average,ANImf,31
GROS22-2_SAMEA112714827_MAG_00000131.fa,32_1,0.010000000000000009,average,ANImf,32
GROS22-2_SAMEA112714829_MAG_00000061.fa,32_1,0.010000000000000009,average,ANImf,32
GROS22-2_SAMEA112714830_MAG_00000250.fa,32_1,0.010000000000000009,average,ANImf,32
GROS22-2_SAMEA112714831_MAG_00000010.fa,32_1,0.010000000000000009,average,ANImf,32
GROS22-2_SAMEA112714825_MAG_00000069.fa,33_1,0.010000000000000009,average,ANImf,33
GROS22-2_SAMEA112714826_MAG_00000312.fa,33_2,0.010000000000000009,average,ANImf,33
GROS22-2_SAMEA112714809_MAG_00000250.fa,33_3,0.010000000000000009,average,ANImf,33
GROS22-1_SAMEA110290315_MAG_00000193.fa,34_0,0.010000000000000009,average,ANImf,34
GROS22-1_SAMEA110290298_MAG_00000047.fa,35_1,0.010000000000000009,average,ANImf,35
GROS22-1_SAMEA110290299_MAG_00000117.fa,35_1,0.010000000000000009,average,ANImf,35
GROS22-1_SAMEA110290300_MAG_00000147.fa,35_1,0.010000000000000009,average,ANImf,35
GROS22-1_SAMEA110290301_MAG_00000134.fa,35_1,0.010000000000000009,average,ANImf,35
GROS22-2_SAMEA112714839_MAG_00000109.fa,35_1,0.010000000000000009,average,ANImf,35
GROS22-2_SAMEA112714840_MAG_00000099.fa,35_1,0.010000000000000009,average,ANImf,35
GROS22-2_SAMEA112714841_MAG_00000110.fa,35_1,0.010000000000000009,average,ANImf,35
GROS22-2_SAMEA112714842_MAG_00000050.fa,35_1,0.010000000000000009,average,ANImf,35
GROS22-2_SAMEA112714845_MAG_00000320.fa,35_1,0.010000000000000009,average,ANImf,35
GROS22-2_SAMEA112714846_MAG_00000119.fa,35_1,0.010000000000000009,average,ANImf,35
GROS22-2_SAMEA112714857_MAG_00000102.fa,35_1,0.010000000000000009,average,ANImf,35
GROS22-2_SAMEA112714858_MAG_00000090.fa,35_1,0.010000000000000009,average,ANImf,35
GROS22-2_SAMEA112714859_MAG_00000175.fa,35_1,0.010000000000000009,average,ANImf,35
GROS22-2_SAMEA112714860_MAG_00000169.fa,35_1,0.010000000000000009,average,ANImf,35
GROS22-2_SAMEA112714818_MAG_00000118.fa,36_0,0.010000000000000009,average,ANImf,36
GROS22-2_SAMEA112714830_MAG_00000103.fa,37_0,0.010000000000000009,average,ANImf,37
GROS22-2_SAMEA112714814_MAG_00000497.fa,38_1,0.010000000000000009,average,ANImf,38
GROS22-2_SAMEA112714831_MAG_00000290.fa,38_1,0.010000000000000009,average,ANImf,38
GROS22-2_SAMEA112714832_MAG_00000299.fa,38_1,0.010000000000000009,average,ANImf,38
GROS22-1_SAMEA110290259_MAG_00000129.fa,39_1,0.010000000000000009,average,ANImf,39
GROS22-1_SAMEA110290280_MAG_00000048.fa,39_1,0.010000000000000009,average,ANImf,39
GROS22-1_SAMEA110290281_MAG_00000061.fa,39_1,0.010000000000000009,average,ANImf,39
GROS22-1_SAMEA110290282_MAG_00000096.fa,39_1,0.010000000000000009,average,ANImf,39
GROS22-2_SAMEA112714811_MAG_00000296.fa,39_1,0.010000000000000009,average,ANImf,39
GROS22-1_SAMEA110290258_MAG_00000029.fa,39_2,0.010000000000000009,average,ANImf,39
GROS22-1_SAMEA110290264_MAG_00000110.fa,39_3,0.010000000000000009,average,ANImf,39
GROS22-1_SAMEA110290257_MAG_00000142.fa,39_4,0.010000000000000009,average,ANImf,39
GROS22-1_SAMEA110290283_MAG_00000010.fa,39_5,0.010000000000000009,average,ANImf,39
GROS22-1_SAMEA110290256_MAG_00000149.fa,39_6,0.010000000000000009,average,ANImf,39
GROS22-1_SAMEA110290263_MAG_00000147.fa,39_7,0.010000000000000009,average,ANImf,39
GROS22-1_SAMEA110290262_MAG_00000098.fa,39_8,0.010000000000000009,average,ANImf,39
GROS22-1_SAMEA110290265_MAG_00000117.fa,39_9,0.010000000000000009,average,ANImf,39
GROS22-2_SAMEA112714834_MAG_00000157.fa,40_1,0.010000000000000009,average,ANImf,40
GROS22-2_SAMEA112714836_MAG_00000073.fa,40_2,0.010000000000000009,average,ANImf,40
GROS22-2_SAMEA112714833_MAG_00000220.fa,40_3,0.010000000000000009,average,ANImf,40
GROS22-2_SAMEA112714835_MAG_00000034.fa,40_4,0.010000000000000009,average,ANImf,40
GROS22-2_SAMEA112714837_MAG_00000120.fa,40_5,0.010000000000000009,average,ANImf,40
GROS22-2_SAMEA112714838_MAG_00000019.fa,40_6,0.010000000000000009,average,ANImf,40
GROS22-1_SAMEA110290352_MAG_00000009.fa,40_7,0.010000000000000009,average,ANImf,40
GROS22-2_SAMEA112714803_MAG_00000225.fa,40_8,0.010000000000000009,average,ANImf,40
GROS22-1_SAMEA110290353_MAG_00000038.fa,40_9,0.010000000000000009,average,ANImf,40
GROS22-1_SAMEA110290284_MAG_00000186.fa,40_10,0.010000000000000009,average,ANImf,40
GROS22-1_SAMEA110290280_MAG_00000076.fa,40_11,0.010000000000000009,average,ANImf,40
GROS22-1_SAMEA110290342_MAG_00000037.fa,40_12,0.010000000000000009,average,ANImf,40
GROS22-1_SAMEA110290285_MAG_00000214.fa,40_13,0.010000000000000009,average,ANImf,40
GROS22-1_SAMEA110290354_MAG_00000028.fa,40_14,0.010000000000000009,average,ANImf,40
GROS22-1_SAMEA110290357_MAG_00000010.fa,40_15,0.010000000000000009,average,ANImf,40
GROS22-1_SAMEA110290335_MAG_00000024.fa,40_16,0.010000000000000009,average,ANImf,40
GROS22-1_SAMEA110290336_MAG_00000035.fa,40_17,0.010000000000000009,average,ANImf,40
GROS22-1_SAMEA110290346_MAG_00000002.fa,40_18,0.010000000000000009,average,ANImf,40
GROS22-2_SAMEA112714779_MAG_00000153.fa,40_19,0.010000000000000009,average,ANImf,40
GROS22-2_SAMEA112714785_MAG_00000054.fa,40_20,0.010000000000000009,average,ANImf,40
GROS22-2_SAMEA112714786_MAG_00000217.fa,40_21,0.010000000000000009,average,ANImf,40
GROS22-1_SAMEA110290338_MAG_00000112.fa,40_22,0.010000000000000009,average,ANImf,40
GROS22-1_SAMEA110290339_MAG_00000093.fa,40_23,0.010000000000000009,average,ANImf,40
GROS22-1_SAMEA110290291_MAG_00000110.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290296_MAG_00000078.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290297_MAG_00000096.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290309_MAG_00000063.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290315_MAG_00000106.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714814_MAG_00000378.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714815_MAG_00000169.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714822_MAG_00000010.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714825_MAG_00000239.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714826_MAG_00000064.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714833_MAG_00000185.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714834_MAG_00000022.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714835_MAG_00000107.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714836_MAG_00000150.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714837_MAG_00000229.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714838_MAG_00000174.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714839_MAG_00000226.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714840_MAG_00000064.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714841_MAG_00000222.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714842_MAG_00000220.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714851_MAG_00000149.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714852_MAG_00000073.fa,41_1,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290293_MAG_00000102.fa,41_2,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290292_MAG_00000077.fa,41_3,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290308_MAG_00000098.fa,41_4,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290294_MAG_00000163.fa,41_5,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714809_MAG_00000236.fa,41_6,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714810_MAG_00000261.fa,41_7,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290295_MAG_00000081.fa,41_8,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290304_MAG_00000054.fa,41_9,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290314_MAG_00000023.fa,41_10,0.010000000000000009,average,ANImf,41
GROS22-2_SAMEA112714811_MAG_00000041.fa,41_11,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290306_MAG_00000034.fa,41_12,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290290_MAG_00000135.fa,41_13,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290303_MAG_00000018.fa,41_14,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290310_MAG_00000035.fa,41_15,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290305_MAG_00000067.fa,41_16,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290307_MAG_00000053.fa,41_17,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290311_MAG_00000054.fa,41_18,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290317_MAG_00000037.fa,41_19,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290287_MAG_00000107.fa,41_20,0.010000000000000009,average,ANImf,41
GROS22-1_SAMEA110290250_MAG_00000024.fa,42_1,0.010000000000000009,average,ANImf,42
GROS22-1_SAMEA110290253_MAG_00000042.fa,42_2,0.010000000000000009,average,ANImf,42
GROS22-1_SAMEA110290251_MAG_00000020.fa,42_3,0.010000000000000009,average,ANImf,42
GROS22-1_SAMEA110290252_MAG_00000126.fa,42_4,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714833_MAG_00000034.fa,42_5,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714834_MAG_00000088.fa,42_6,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714835_MAG_00000076.fa,42_7,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714836_MAG_00000104.fa,42_8,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714837_MAG_00000138.fa,42_9,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714838_MAG_00000068.fa,42_10,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714779_MAG_00000062.fa,42_11,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714780_MAG_00000038.fa,42_12,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714785_MAG_00000165.fa,42_13,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714775_MAG_00000011.fa,42_14,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714776_MAG_00000151.fa,42_15,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714798_MAG_00000042.fa,42_16,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714777_MAG_00000113.fa,42_17,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714797_MAG_00000138.fa,42_18,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714786_MAG_00000072.fa,42_19,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714825_MAG_00000318.fa,42_20,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714826_MAG_00000202.fa,42_21,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714821_MAG_00000339.fa,42_22,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714800_MAG_00000179.fa,42_23,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714822_MAG_00000156.fa,42_24,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714805_MAG_00000103.fa,42_25,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714806_MAG_00000114.fa,42_26,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714807_MAG_00000185.fa,42_27,0.010000000000000009,average,ANImf,42
GROS22-1_SAMEA110290255_MAG_00000224.fa,42_28,0.010000000000000009,average,ANImf,42
GROS22-2_SAMEA112714814_MAG_00000015.fa,43_1,0.010000000000000009,average,ANImf,43
GROS22-2_SAMEA112714851_MAG_00000248.fa,43_1,0.010000000000000009,average,ANImf,43
GROS22-1_SAMEA110290257_MAG_00000078.fa,44_1,0.010000000000000009,average,ANImf,44
GROS22-2_SAMEA112714797_MAG_00000092.fa,44_1,0.010000000000000009,average,ANImf,44
GROS22-2_SAMEA112714798_MAG_00000029.fa,44_1,0.010000000000000009,average,ANImf,44
GROS22-2_SAMEA112714785_MAG_00000095.fa,45_1,0.010000000000000009,average,ANImf,45
GROS22-2_SAMEA112714786_MAG_00000088.fa,45_1,0.010000000000000009,average,ANImf,45
GROS22-2_SAMEA112714803_MAG_00000052.fa,45_1,0.010000000000000009,average,ANImf,45
GROS22-2_SAMEA112714814_MAG_00000418.fa,45_1,0.010000000000000009,average,ANImf,45
GROS22-2_SAMEA112714815_MAG_00000062.fa,45_1,0.010000000000000009,average,ANImf,45
GROS22-2_SAMEA112714819_MAG_00000043.fa,46_0,0.010000000000000009,average,ANImf,46
GROS22-2_SAMEA112714814_MAG_00000029.fa,47_0,0.010000000000000009,average,ANImf,47
GROS22-1_SAMEA110290329_MAG_00000011.fa,48_1,0.010000000000000009,average,ANImf,48
GROS22-1_SAMEA110290346_MAG_00000035.fa,48_2,0.010000000000000009,average,ANImf,48
GROS22-1_SAMEA110290326_MAG_00000024.fa,48_3,0.010000000000000009,average,ANImf,48
GROS22-1_SAMEA110290327_MAG_00000076.fa,48_4,0.010000000000000009,average,ANImf,48
GROS22-1_SAMEA110290324_MAG_00000028.fa,48_5,0.010000000000000009,average,ANImf,48
GROS22-1_SAMEA110290322_MAG_00000044.fa,48_6,0.010000000000000009,average,ANImf,48
GROS22-1_SAMEA110290323_MAG_00000037.fa,48_7,0.010000000000000009,average,ANImf,48
GROS22-2_SAMEA112714837_MAG_00000018.fa,49_1,0.010000000000000009,average,ANImf,49
GROS22-2_SAMEA112714838_MAG_00000087.fa,49_1,0.010000000000000009,average,ANImf,49
GROS22-2_SAMEA112714834_MAG_00000150.fa,49_2,0.010000000000000009,average,ANImf,49
GROS22-1_SAMEA110290252_MAG_00000083.fa,50_1,0.010000000000000009,average,ANImf,50
GROS22-1_SAMEA110290253_MAG_00000090.fa,50_2,0.010000000000000009,average,ANImf,50
